"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"882","Alexa can finally wake you up before you go-go     - CNET https://t.co/iLrJqRDLAv",FALSE,0,NA,2017-12-11 21:16:32,FALSE,NA,"940329475295924224",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","jbkavungal",0,FALSE,FALSE,NA,NA
"883","""Alexa can finally wake you up before you go-go     - CNET"" https://t.co/NyiytZ8bNX",FALSE,0,NA,2017-12-11 21:16:27,FALSE,NA,"940329455033159685",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","guzmanadrian",0,FALSE,FALSE,NA,NA
"884","Amazon Alexa can now wake you up to music : gadgets https://t.co/1LjLJn2N26",FALSE,0,NA,2017-12-11 21:16:26,FALSE,NA,"940329450692075520",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","goldcitymedia",0,FALSE,FALSE,NA,NA
"885","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:16:20,FALSE,NA,"940329426176430080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fiona_cullen",1238,TRUE,FALSE,NA,NA
"886","RT @SEAT_cars_UK: Change the way you drive forever with the #SEATleon and #SEATateca. Now Amazon Alexa enabled: https://t.co/Mcin7thHtl htt…",FALSE,0,NA,2017-12-11 21:16:09,FALSE,NA,"940329381079199745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lotta253",839,TRUE,FALSE,NA,NA
"887","You can list me amongst those that are paranoid of these devices. https://t.co/0PD2gQI9Ax",FALSE,0,NA,2017-12-11 21:16:06,FALSE,NA,"940329366201835520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","niederhuth",0,FALSE,FALSE,NA,NA
"888","Amazon Alexa can now wake you up to music https://t.co/PRABeq768J https://t.co/55uOL1Dcn0",FALSE,0,NA,2017-12-11 21:15:59,FALSE,NA,"940329340436393984",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","tech_explosion",0,FALSE,FALSE,NA,NA
"889","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:15:48,FALSE,NA,"940329291434340353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","LuciFortoon",1238,TRUE,FALSE,NA,NA
"890","Alexa can finally wake you up before you go-go - CNET - Amazon is going to either give you your favorite song to wa… https://t.co/HMv89U7HtI",FALSE,0,NA,2017-12-11 21:15:47,TRUE,NA,"940329286430490624",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TechNewsTWS",0,FALSE,FALSE,NA,NA
"891","Seniors Learning to Love Alexa #EchoShow  Black by Amazon https://t.co/GMNthTCpi5 https://t.co/DD7ZZaXyxJ",FALSE,0,NA,2017-12-11 21:15:38,FALSE,NA,"940329251089285120",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","SandyAlz",0,FALSE,FALSE,NA,NA
"892","Check out Amazon Fire TV Game Controller with Alexa https://t.co/Klbtl0iWlk",FALSE,0,NA,2017-12-11 21:15:35,FALSE,NA,"940329238367997952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","god_ofretro",0,FALSE,FALSE,NA,NA
"893","All throughout my life people ask: “is it Alexa or Alexis?” 
I have so many questions. 
1. Is Alexa really that com… https://t.co/tc2bk3k93t",FALSE,1,NA,2017-12-11 21:15:35,TRUE,NA,"940329236543533056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexisrosemaye",0,FALSE,FALSE,NA,NA
"894","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:15:25,FALSE,NA,"940329194525020160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kashuttleworth",1238,TRUE,FALSE,NA,NA
"895","Alexa can finally wake you up before you go-go     - CNET https://t.co/HachY3sCRJ",FALSE,0,NA,2017-12-11 21:15:22,FALSE,NA,"940329181979774977",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","manolhs",0,FALSE,FALSE,NA,NA
"896","#Alexa is the only alarm clock you need! -KL https://t.co/Oy9QC7X63B",FALSE,0,NA,2017-12-11 21:15:12,FALSE,NA,"940329139860590594",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","cryswashington",0,FALSE,FALSE,NA,NA
"897","The @BBC has launched a new integration with @amazon's Alexa to help it's audience quickly and easily access all of… https://t.co/MAM0N83Kz9",FALSE,0,NA,2017-12-11 21:15:05,TRUE,NA,"940329111800696833",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PadSquadMedia",0,FALSE,FALSE,NA,NA
"898","Alexa can finally wake you up before you go-go - CNET https://t.co/OnDvapZXwU",FALSE,0,NA,2017-12-11 21:15:04,FALSE,NA,"940329110093447168",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","GeekInfoNow",0,FALSE,FALSE,NA,NA
"899","Alexa can finally wake you up before you go-go - CNET https://t.co/eMGjJbSHIZ https://t.co/eYMnIialxV",FALSE,0,NA,2017-12-11 21:15:04,FALSE,NA,"940329108948467712",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","crufftech",0,FALSE,FALSE,NA,NA
"900","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:15:01,FALSE,NA,"940329096474742785",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chez1995",1238,TRUE,FALSE,NA,NA
"901","RT @TextAnywhere: Only 4 days left to enter our #AdventCalendar giveaway������ For your chance to #WIN an Amazon Kindle Fire with Alexa then #fo…",FALSE,0,NA,2017-12-11 21:14:49,FALSE,NA,"940329046168297474",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustSammeh1",206,TRUE,FALSE,NA,NA
"902","RT @michaelschaub: Noel Gallagher is the gift that keeps on giving. https://t.co/yCGi2cou75 https://t.co/BjPW6BKeb5",FALSE,0,NA,2017-12-11 21:14:46,FALSE,NA,"940329034302611456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AiZeyta",261,TRUE,FALSE,NA,NA
"903","RT @TextAnywhere: Our Advent Calendar Giveaway is open!������For your chance to #WIN an Amazon Kindle Fire with Alexa then simply #follow us on…",FALSE,0,NA,2017-12-11 21:14:43,FALSE,NA,"940329018087309313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustSammeh1",740,TRUE,FALSE,NA,NA
"904","""Alexa, wake me up to Rick Astley.""

Smart speakers can be used for a laundry list of different things, but as I've… https://t.co/ld6Ti4dcWB",FALSE,0,NA,2017-12-11 21:14:15,TRUE,NA,"940328904102989824",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","fractaltech",1,FALSE,FALSE,NA,NA
"905","RT @AKmedia_: Ring Wi-Fi Enabled Video Doorbell in Venetian Bronze ➡️ https://t.co/aVCQiGFs82  ⬅️ DigitalMarketing Innovation Tech Marketin…",FALSE,0,NA,2017-12-11 21:14:12,FALSE,NA,"940328891734020096",NA,"<a href=""https://www.website.co.uk"" rel=""nofollow"">Tweetybotty</a>","crucialgroupltd",1,TRUE,FALSE,NA,NA
"906","Cnet Alexa can finally wake you up before you go-go - CNET https://t.co/IjZVC2vP60",FALSE,0,NA,2017-12-11 21:14:03,FALSE,NA,"940328853230063616",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","technews122",0,FALSE,FALSE,NA,NA
"907","RT @TimRunsHisMouth: I'm crying laughing...
""Alexa... are you connected to the CIA?""
""Alexa... you are lying to me."" - Alex Jones' hard hit…",FALSE,0,NA,2017-12-11 21:13:52,FALSE,NA,"940328805557854208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Corschmidt2016",24872,TRUE,FALSE,NA,NA
"908","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:13:45,FALSE,NA,"940328776063508480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DeniseCop1",1238,TRUE,FALSE,NA,NA
"909","RT @TimRunsHisMouth: I'm crying laughing...
""Alexa... are you connected to the CIA?""
""Alexa... you are lying to me."" - Alex Jones' hard hit…",FALSE,0,NA,2017-12-11 21:13:39,FALSE,NA,"940328751023435777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meemcorpz",24872,TRUE,FALSE,NA,NA
"910","Amazon Alexa can now wake you up to music https://t.co/ldLQCHkjtb",FALSE,0,NA,2017-12-11 21:13:26,FALSE,NA,"940328699043483654",NA,"<a href=""http://www.sunwood.co.jp/"" rel=""nofollow"">ronshisanshidzu</a>","ronshisanshidzu",0,FALSE,FALSE,NA,NA
"911","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:13:25,FALSE,NA,"940328693628628993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","the4ts",1238,TRUE,FALSE,NA,NA
"912","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:13:19,FALSE,NA,"940328668412502017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kerry_hogsden",1238,TRUE,FALSE,NA,NA
"913","Ring Wi-Fi Enabled Video Doorbell in Venetian Bronze ➡️ https://t.co/aVCQiGFs82  ⬅️ DigitalMarketing Innovation Tec… https://t.co/OgJmk5NpHm",FALSE,0,NA,2017-12-11 21:13:05,TRUE,NA,"940328611067912193",NA,"<a href=""http://tweepsmap.com"" rel=""nofollow"">Tweepsmap</a>","AKmedia_",1,FALSE,FALSE,NA,NA
"914","Alexa can finally wake you up before you go-go - CNET: Amazon is going to either give you… https://t.co/DWtlA6CUVu",FALSE,0,NA,2017-12-11 21:12:47,FALSE,NA,"940328531485224960",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","digitalXlife",0,FALSE,FALSE,NA,NA
"915","Amazon Alexa can now wake you up to music https://t.co/G86UG8pJJw https://t.co/wNEzuixGrp",FALSE,0,NA,2017-12-11 21:12:41,FALSE,NA,"940328506805723136",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","KopitiamBot",0,FALSE,FALSE,NA,NA
"916","RT @DesignConsultUK: I bet #ALEXA would want this #FREE #PRIZE as well. Retweet, like, comment and follow us for your chance to win #AMAZON…",FALSE,0,NA,2017-12-11 21:12:37,FALSE,NA,"940328491236642816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EvaBeaverRox",675,TRUE,FALSE,NA,NA
"917","@TextAnywhere Our Advent Calendar Giveaway is open!������For your chance to #WIN an Amazon Kindle Fire with Alexa then s… https://t.co/YmBCIgWhKI",FALSE,0,"TextAnywhere",2017-12-11 21:12:30,TRUE,NA,"940328460156919808","57640209","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oasis1317",0,FALSE,FALSE,NA,NA
"918","Amazon finally has musical alarms for Alexa - CNET https://t.co/qIHZ5qXtVa",FALSE,0,NA,2017-12-11 21:12:26,FALSE,NA,"940328445225193472",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","aasisvinayak",0,FALSE,FALSE,NA,NA
"919","RT @sinkingdiatom: ""I put on a Barbra Streisand album the other day. It’s not something that I’m proud of, but these are complicated times…",FALSE,0,NA,2017-12-11 21:12:26,FALSE,NA,"940328444415508485",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JChrisPires",2,TRUE,FALSE,NA,NA
"920","RT @TheTimMcGraw: Don't forget! We're taking over Song of the Day all week on @AmazonMusic!  #AskAlexa “Alexa, play Song of the Day” to lis…",FALSE,0,NA,2017-12-11 21:12:19,FALSE,NA,"940328416380903424",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","TheTmMccGraw",78,TRUE,FALSE,NA,NA
"921","Alexa can finally wake you up before you go-go     - CNET https://t.co/FvV7FNcZLa",FALSE,0,NA,2017-12-11 21:12:07,FALSE,NA,"940328366909087746",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","juliasbrown31",0,FALSE,FALSE,NA,NA
"922","RT @TextAnywhere: Our Advent Calendar Giveaway is open!������For your chance to #WIN an Amazon Kindle Fire with Alexa then simply #follow us on…",FALSE,0,NA,2017-12-11 21:12:04,FALSE,NA,"940328352476430336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oasis1317",740,TRUE,FALSE,NA,NA
"923","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:11:53,FALSE,NA,"940328306133667845",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","samstanley1972",1238,TRUE,FALSE,NA,NA
"924","RT @_DorisIT: #Day10 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your Christmas easier with Alexa i…",FALSE,0,NA,2017-12-11 21:11:42,FALSE,NA,"940328260881305600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DuchessBlu",1311,TRUE,FALSE,NA,NA
"925","RT @BMO: What if your BMO branch was anywhere you want it to be? Introducing the BMO skill for Amazon Alexa. #AskAlexa https://t.co/zZ16xRo…",FALSE,0,NA,2017-12-11 21:11:41,FALSE,NA,"940328256405934080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unarose7",22,TRUE,FALSE,NA,NA
"926","RT @TheTimMcGraw: We're taking over Song of the Day this week on @amazonmusic! Grab your Echo and #AskAlexa “Alexa, play Song of the Day” #…",FALSE,0,NA,2017-12-11 21:11:37,FALSE,NA,"940328239628804097",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","TheTmMccGraw",65,TRUE,FALSE,NA,NA
"927","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:11:37,FALSE,NA,"940328239461031937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DuchessBlu",1238,TRUE,FALSE,NA,NA
"928","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:11:32,FALSE,NA,"940328217629642755",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jennycklin",1238,TRUE,FALSE,NA,NA
"929","Alexa can finally wake you up before you go-go - CNET Amazon is going to either give you your favorite song to wake… https://t.co/kz7j7zDfq3",FALSE,0,NA,2017-12-11 21:11:10,TRUE,NA,"940328125749252097",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","samymohab",0,FALSE,FALSE,NA,NA
"930","RT @Khanoisseur: Facebook is running ""1.2 million visual AI experiments on the social network at any given moment""

Amazon's new Echo Show…",FALSE,0,NA,2017-12-11 21:11:07,FALSE,NA,"940328113682157570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","factseekingmom",64,TRUE,FALSE,NA,NA
"931","RT @SEAT_cars_UK: Change the way you drive forever with the #SEATleon and #SEATateca. Now Amazon Alexa enabled: https://t.co/Mcin7thHtl htt…",FALSE,0,NA,2017-12-11 21:10:48,FALSE,NA,"940328036100198400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","benuxVII",839,TRUE,FALSE,NA,NA
"932","RT @TextAnywhere: Our Advent Calendar Giveaway is open!������For your chance to #WIN an Amazon Kindle Fire with Alexa then simply #follow us on…",FALSE,0,NA,2017-12-11 21:10:43,FALSE,NA,"940328014860169216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TraceyHalpin",740,TRUE,FALSE,NA,NA
